Hz	Volts	dB	peakVolts	valleyVolts
3897.509765625	18.155335369478827	49.38008552736226	42.06768335526924	0.0
3908.2763671875	17.9882819619172	49.29979374160101	50.55283054147654	0.0
3919.04296875	17.22398004176556	48.92267028620547	44.65852912940766	0.0
3929.8095703125	17.76038526420352	49.189047661879925	48.81493884492504	0.0
3940.576171875	19.47422376217931	49.989203127795946	44.71081476463576	0.0
3951.3427734375	18.29892338365992	49.44851078868217	53.02761591061424	0.0
3962.109375	18.040740622686613	49.325087264761024	51.53965783888027	0.0
3972.8759765625	23.019952729858666	51.442088558117334	44.92708828301295	0.0
3983.642578125	21.244411720142654	50.74489420014493	44.94271600075515	0.0
3994.4091796875	16.701987483020915	48.655363093071834	42.79562599514887	0.0
4005.17578125	19.3190370029941	49.91970949804024	54.96056898240718	0.0
4015.9423828125	13.91635826925819	47.07051204043362	38.777225320166814	0.0
4026.708984375	18.12535219725311	49.36572909693517	47.82996359759012	0.0
4037.4755859375	22.866135179570513	51.383855340646534	42.788481823132784	0.0
4048.2421875	19.484551664737495	49.99380835589643	42.664098233349925	0.0
4059.0087890625	20.88576136609253	50.5970062417353	41.60992478729054	0.0
4069.775390625	18.377616929687516	49.48578390643283	53.06489324441969	0.0
4080.5419921875	19.22607254905945	49.87781154729925	53.515438600083684	0.0
4091.30859375	18.304560898780984	49.45118631727598	42.486208827807516	0.0
4102.0751953125	18.653578090537177	49.61524300446848	46.7219346985235	0.0
4112.841796875	13.539700289609394	46.83218104477979	54.840667622641675	0.0
4123.6083984375	11.053669138391237	45.0701292557998	49.49191892336245	0.0
4134.375	20.16628805036717	50.292519335768375	54.36280983781216	0.0
4145.1416015625	13.581676486450098	46.85906765200012	52.83917162150349	0.0
4155.908203125	19.116089046700452	49.82798090962621	48.70599077386781	0.0
4166.6748046875	20.130631521840865	50.27714799944738	48.420074664872025	0.0
4177.44140625	19.54317011353583	50.0199002585415	48.31889150515605	0.0
4188.2080078125	25.015242592701412	52.16409438571674	44.84284180315949	0.0
4198.974609375	22.479373632807906	51.23568412553395	40.793130454022084	0.0
4209.7412109375	21.304827221351946	50.76956033944549	44.719188317882534	0.0
4220.5078125	14.026251160677553	47.13883224836484	48.197186469202485	0.0
4231.2744140625	20.132203871742632	50.27782640460981	46.2610167289095	0.0
4242.041015625	18.012098121577594	49.311286096041314	52.82167754258518	0.0
4252.8076171875	20.645639025944945	50.49656660511452	55.45352696845419	0.0
4263.57421875	18.713004162223875	49.64287029617492	51.713511564812734	0.0
4274.3408203125	15.46163165477318	47.98510647381407	44.07638247561062	0.0
4285.107421875	13.967082923690413	47.1021142541659	45.645177142495726	0.0
4295.8740234375	22.70967756785388	51.32421937137497	47.07957597996275	0.0
4306.640625	26.44708594356055	52.64755653677008	48.093944353935555	0.0
4317.4072265625	18.450424879563116	49.520127445125496	50.185653269787984	0.0
4328.173828125	19.894217427839006	50.17453721341269	54.61209001002438	0.0
4338.9404296875	25.15595341903134	52.212815644453215	44.85234532611799	0.0
4349.70703125	28.545714221918463	53.31081827834073	42.28204222134725	0.0
4360.4736328125	31.076591450343464	54.04866757162645	42.63324388307981	0.0
4371.240234375	19.799670055546233	50.133159074642606	46.7447715358653	0.0
4382.0068359375	22.87103713230846	51.38571718817326	47.21431045954687	0.0
4392.7734375	17.41440989575262	49.01817526535895	54.853481752606555	0.0
4403.5400390625	23.917917064810855	51.77446712040128	48.36653215189615	0.0
4414.306640625	18.961245548477024	49.757337259740055	48.34309108463864	0.0
4425.0732421875	16.933991173870595	48.77518659670476	44.9171187175983	0.0
4435.83984375	22.34679533968129	51.1843050403093	48.433087199571446	0.0
4446.6064453125	23.248418991654695	51.52786848885869	48.31067373062524	0.0
4457.373046875	24.093512331483502	51.838002321264604	47.721600664315204	0.0
4468.1396484375	21.113351214684126	50.691143452336775	53.37085145712893	0.0
4478.90625	19.983233448877257	50.21331524962355	58.385999721292514	0.0
4489.6728515625	21.092454008040296	50.682542225841075	51.310080969969604	0.0
4500.439453125	17.997062039311544	49.30403228852368	46.169459978423696	0.0
4511.2060546875	24.441517237766448	51.96256324288431	46.16023863372634	0.0
4521.97265625	27.1343624623806	52.8703924465797	54.06420861976323	0.0
4532.7392578125	19.34005137199649	49.929152478468914	48.524723586513865	0.0
4543.505859375	22.146300408611893	51.106023742998076	49.91087734371913	0.0
4554.2724609375	25.567208413337788	52.3536662395461	49.207781664996105	0.0
4565.0390625	14.583036270623555	47.47695913969598	51.63919782508338	0.0
4575.8056640625	18.118714199582886	49.362547504946065	57.49394140739376	0.0
4586.572265625	24.40809014880674	51.95067598048897	65.43139934514917	0.0
4597.3388671875	26.326598219787694	52.60789491735066	54.41475093834001	0.0
4608.10546875	21.584547721047922	50.882859068415996	57.518968777382135	0.0
4618.8720703125	20.822837136102116	50.5707980568386	58.92079499711391	0.0
4629.638671875	23.821855074257908	51.739511571363906	56.871589332158095	0.0
4640.4052734375	20.888033944173966	50.597951301298934	52.3340303842937	0.0
4651.171875	16.164354149579186	48.371167155823656	49.74510242210218	0.0
4661.9384765625	16.63658823448984	48.621285369621916	53.70423628328935	0.0
4672.705078125	25.033146749060318	52.17030891268263	53.20827003770946	0.0
4683.4716796875	20.656295577804425	50.50104879879862	48.887399743790894	0.0
4694.23828125	14.465084849901551	47.40641973064123	49.04927700924402	0.0
4705.0048828125	17.060815603550306	48.83999579616319	49.27392685474699	0.0
4715.771484375	21.827664072186604	50.98014523649934	54.489726637526516	0.0
4726.5380859375	17.282547152119324	48.952155023447936	51.26250588139502	0.0
4737.3046875	16.984151898089255	48.80087732098286	57.98598292629135	0.0
4748.0712890625	18.81722607110449	49.69111206379946	52.803974105393365	0.0
4758.837890625	17.553494550584034	49.0872717896268	50.07999534281774	0.0
4769.6044921875	17.645222931800348	49.13254300710226	49.19636127149177	0.0
4780.37109375	23.877040622701216	51.75960997361912	56.51655633440554	0.0
4791.1376953125	22.783198361666795	51.352293835467734	52.36437201608432	0.0
4801.904296875	27.313104918292897	52.92742146539656	63.274157897536526	0.0
4812.6708984375	24.2270802356756	51.886021559698406	62.48221807461814	0.0
4823.4375	17.53138284100228	49.0763234889218	47.46323595107019	0.0
4834.2041015625	17.458302695465484	49.0400403963428	46.00200102460835	0.0
4844.970703125	24.482808724714918	51.97722479932393	49.025670496362096	0.0
4855.7373046875	15.6430912966972	48.086451616823894	51.080481599201114	0.0
4866.50390625	15.975385513071469	48.269026961362144	57.30831138701001	0.0
4877.2705078125	16.470065795324956	48.533906698238795	58.24203084788057	0.0
4888.037109375	18.300750208664493	49.44937787840107	55.556193223833134	0.0
4898.8037109375	24.517810878573602	51.98963382187001	47.75440721109118	0.0
4909.5703125	26.626485815572835	52.70627704003813	52.65979646721304	0.0
4920.3369140625	22.28458066458283	51.160089333822654	55.30840236464916	0.0
4931.103515625	30.699647058730157	53.94266765660974	52.5822344182687	0.0
4941.8701171875	20.825277856089574	50.571816101685414	53.16772514267058	0.0
4952.63671875	15.332881112382394	47.91247538385061	57.48833799977345	0.0
4963.4033203125	16.104389462077847	48.338885312959064	55.092098480934915	0.0
4974.169921875	19.566873401251726	50.03042871350226	52.3844008241366	0.0
4984.9365234375	20.180391823620294	50.29859189603991	52.26619326583913	0.0
4995.703125	20.809281974270387	50.56514191220309	57.13340460143467	0.0
5006.4697265625	19.553746099020643	50.02459944475024	56.72557349235313	0.0
5017.236328125	21.001684668519022	50.64508267871162	56.92430139290627	0.0
5028.0029296875	17.699194632265677	49.15907011542686	61.33825882187342	0.0
5038.76953125	13.491229980397929	46.80103093627409	67.10349125228421	0.0
5049.5361328125	14.862932884398836	47.64209035327845	73.36162009986698	0.0
5060.302734375	18.896995438915493	49.72785517707788	78.4887439924785	0.0
5071.0693359375	21.610633741958296	50.89335006848171	81.17609341977493	0.0
5081.8359375	20.985626212729503	50.63843867230575	80.91371299360377	0.0
5092.6025390625	22.33003276519487	51.17778721508512	80.58179899564527	0.0
5103.369140625	25.258261863355315	52.248069235923765	84.0490160818279	0.0
5114.1357421875	24.018070241872305	51.81076221959586	86.80559095687657	0.0
5124.90234375	23.001297972814356	51.43504689075688	86.96721729643973	0.0
5135.6689453125	23.157020612883002	51.493653652713185	91.80681840847579	0.0
5146.435546875	26.998094467297058	52.826662258366085	96.61565274037748	0.0
5157.2021484375	21.459404526370086	50.832353341992516	102.8986275908017	0.0
5167.96875	16.75133121019374	48.68098652862835	102.61369293709008	0.0
5178.7353515625	17.314072019732283	48.9679844080737	101.10119181106583	0.0
5189.501953125	22.871215340475946	51.38578486723972	105.32723849433711	0.0
5200.2685546875	24.809662502350466	52.09241713501198	105.27187943696146	0.0
5211.03515625	23.40660512578921	51.58676857912354	104.0634159950742	0.0
5221.8017578125	31.46015824042526	54.15521805911658	107.12561372759063	0.0
5232.568359375	32.23040824750752	54.36531613522598	108.29187963257478	0.0
5243.3349609375	23.673055559761128	51.685086355261255	109.23018370981998	0.0
5254.1015625	16.64172316269303	48.623965879418996	105.65215412696338	0.0
5264.8681640625	15.50039495824123	48.00685530535189	103.69633276486658	0.0
5275.634765625	27.527724450017487	52.99540625346973	102.83554107635373	0.0
5286.4013671875	28.26405224119395	53.2246885483462	104.5153541980394	0.0
5297.16796875	25.590108241029785	52.36144246402592	101.49846255533255	0.0
5307.9345703125	19.54210266270421	50.019425821013655	98.53244744474301	0.0
5318.701171875	18.658342784720052	49.61746136294303	97.24935328400788	0.0
5329.4677734375	17.890136665159673	49.25227317784912	98.32431752361093	0.0
5340.234375	20.53581429940479	50.45023857944006	105.21654962926334	0.0
5351.0009765625	21.83704270704474	50.98387647824692	112.45481283415417	0.0
5361.767578125	26.106376623494437	52.53493198774096	111.59168742853767	0.0
5372.5341796875	24.692462686235693	52.05128813035169	110.92988178683397	0.0
